# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from InferenceX (https://github.com/SemiAnalysisAI/InferenceX).
# Attribution to InferenceX is required for any derivative work.
Model,ISL,OSL,Hardware,Hardware Key,Framework,Precision,TP,Concurrency,Date,Token Throughput per All in Utility MW (tok/s/MW),Interactivity (tok/s/user),Throughput/Chip (tok/s),Output Throughput/Chip (tok/s),Input Throughput/Chip (tok/s),Mean TTFT (s),Median TTFT (s),P99 TTFT (s),Std TTFT (s),Mean TPOT (s),Median TPOT (s),P99 TPOT (s),Std TPOT (s),Mean Interactivity (tok/s/user),Median Interactivity (tok/s/user),P99 Interactivity (tok/s/user),Std Interactivity (tok/s/user),Mean ITL (s),Median ITL (s),P99 ITL (s),Std ITL (s),Mean E2E Latency (s),Median E2E Latency (s),P99 E2E Latency (s),Std E2E Latency (s),Disaggregated,Num Prefill Chips,Num Decode Chips,Spec Decoding,EP,DP Attention,Is Multinode,Run URL
Kimi-K2.5,8192,1024,mi355x,mi355x_vllm,vllm,fp4,4,64,2026-08-22,1941067.8092285967,28.914976048504634,4056.831721287767,450.0700740717022,3606.761647216065,0.9981183569478163,0.30303067015483975,11.34769244547002,2.156254190240663,0.03389750356288253,0.034584154533709735,0.039103210868338574,0.003114073638886506,29.500697540894762,28.914976048504634,25.57334750251133,321.1227851238509,0.0339438817652818,0.023173686116933823,0.20477877373807132,0.04592395789968259,32.25231849086849,32.33406305452809,44.246571163600315,4.277414424344686,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29953041481/attempts/1
Kimi-K2.5,8192,1024,mi355x,mi355x_vllm,vllm,fp4,4,128,2026-08-22,2447475.9062475623,18.19507593705197,5115.224644057405,566.5904155261447,4548.63422853126,1.7066319410670985,0.4714196873828769,22.22752280157525,4.240345829560916,0.05384544461356516,0.054959924512523003,0.06491032493338385,0.005618727101257602,18.571673187522947,18.19507593705197,15.405869575083468,177.97625369208208,0.05392693157088385,0.03285439172759652,0.3496504254871979,0.06614005430897602,51.27121154194792,51.02775633195415,74.88210132346023,7.825626335840324,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29953041481/attempts/1
Kimi-K2.5,8192,1024,b200,b200_vllm,vllm,fp4,4,1,2026-08-22,195449.3607690436,153.88820109556184,334.2184069150646,37.336493581954535,296.88191333311005,0.1887409788032528,0.19093877999694087,0.2056547100248281,0.00884174462775012,0.006499496662089102,0.006498223989108936,0.006511139813168119,0.0000053580269483292876,153.85806809208745,153.88820109556184,153.58294072838086,186635.86608346843,0.20474380447501633,0.20795226702466607,0.20865551545051858,0.020562872167748106,6.228683048812672,6.0825597350194585,6.748077143860865,0.3241824783698471,false,,,none,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31147925932/attempts/1
Kimi-K2.5,8192,1024,b200,b200_vllm,vllm,fp4,4,2,2026-08-22,341723.4471427691,135.0563344049961,584.3470946141352,65.57248771519056,518.7746068989447,0.20291656115441584,0.19316994049586356,0.3249227655190041,0.03548186988848261,0.007392310126701519,0.007404317645711308,0.007564251969889911,0.0001023873858412131,135.27570987422905,135.0563344049961,132.20077860713488,9766.828128133327,0.23220487007041687,0.23150007199728861,0.3890595399145965,0.039199136429200365,7.111011252351455,7.186409606481902,7.841317712524323,0.4459005633921619,false,,,none,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31147925932/attempts/1
Kimi-K2.5,8192,1024,b200,b200_vllm,vllm,fp4,4,4,2026-08-22,576885.6704238969,114.96422003053577,986.4744964248637,109.73747968420336,876.7370167406604,0.2266274742767564,0.1999493219773285,0.6593038615008117,0.10115465022136738,0.008663952855163179,0.008698358495664034,0.00899875787617356,0.00019083937137795266,115.42075732834371,114.96422003053577,111.12644808988001,5240.008876467764,0.2729815574710125,0.2616558310110122,0.43576546645723285,0.05797292579191692,8.190864226598933,8.139778142998694,9.29563143817417,0.5703928808254822,false,,,none,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31147925932/attempts/1
Kimi-K2.5,8192,1024,b200,b200_vllm,vllm,fp4,4,8,2026-08-22,915259.3599152159,91.418137338354,1565.093505455019,175.9429072689448,1389.1505981860744,0.28434099048827194,0.20417148197884671,1.3752347809664196,0.2399550243397963,0.010875711360386649,0.010938748361266985,0.011679555779246231,0.00038763003212448496,91.94800844406083,91.418137338354,85.61969469566054,2579.7794730178603,0.3428195357056424,0.31356561550637707,0.6357052205642683,0.0981493268218308,10.354664682386646,10.449703126505483,12.39092714761442,0.901791759705135,false,,,none,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31147925932/attempts/1
Kimi-K2.5,8192,1024,b200,b200_vllm,vllm,fp4,4,16,2026-08-22,1377045.8751959193,67.96110944628515,2354.748446585022,260.9211916229335,2093.827254962089,0.3534417839196976,0.20408846999634989,2.5997376958676606,0.48041904335575103,0.014539971178400649,0.014714297752751907,0.015844513896167697,0.0008244721201035892,68.77592725118434,67.96110944628515,63.11332784036179,1212.897289812974,0.45848181194503385,0.39771158300573006,0.9980294390430204,0.15741978617859428,13.658010702495085,13.631719674012857,16.029765353616092,1.2543521845265522,false,,,none,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31147925932/attempts/1
Kimi-K2.5,8192,1024,b200,b200_vllm,vllm,fp4,4,32,2026-08-22,1930329.9977670736,47.81893043902269,3300.8642961816954,369.1284682508098,2931.7358279308855,0.5269025392466574,0.218948113033548,5.3200970293907455,0.9848138999146528,0.020595077842178934,0.0209122201358136,0.023270829774245508,0.0014560309737719546,48.5552911070814,47.81893043902269,42.97225366268325,686.7985764131288,0.6491966962757332,0.5179126490838826,1.4258369362913073,0.2830340815345993,19.586911604810304,19.516939466935582,24.95549884817563,2.113312840438505,false,,,none,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31147925932/attempts/1
Kimi-K2.5,8192,1024,b200,b200_vllm,vllm,fp4,4,64,2026-08-22,2627338.2785991123,32.018258716210745,4492.748456404482,498.43123143338755,3994.317224971094,0.8550395725725138,0.24106176802888513,10.246435483092794,1.9600188662347178,0.030613367152831215,0.03123217939062074,0.035246458511026105,0.002669749787811616,32.665469139924944,32.018258716210745,28.371644762187135,374.566936783876,0.9648916811312743,0.6954071419895627,2.746074591353503,0.5163681468593471,29.08264402013301,29.189725127012935,40.08226302259078,3.791575684316364,false,,,none,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31147925932/attempts/1
Kimi-K2.5,8192,1024,b200,b200_vllm,vllm,fp4,4,128,2026-08-22,2532982.00087797,29.563213825916222,4331.399221501328,479.7696006510942,3851.6296208502336,28.391089866718538,30.21674036249169,41.01128092417145,6.529750858124653,0.03366894093401446,0.033825821708307044,0.04423508325214262,0.0031248546007052506,29.70096392279859,29.563213825916222,22.606490741747677,320.0148895805614,1.0615775126091311,0.8271755265304819,2.5974959372944433,0.5975050512962853,59.38749432149766,60.58959737548139,73.48610472605738,7.193787034013545,false,,,none,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31147925932/attempts/1
